pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-94 b,Kepler-94,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,2.50806,,,0.0,,,,,3.51,0.15,-0.15,0.0,0.313,0.013,-0.013,0.0,10.84,1.4,-1.4,0.0,0.034,0.004,-0.004,0.0,Mass,,,,,,,,,,,,,0.0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,4781.0,98.0,-98.0,0.0,0.76,0.03,-0.03,0.0,0.81,0.06,-0.06,0.0,0.34,0.07,-0.07,0.0,[Fe/H],4.59,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m46.74s,281.1947316,+47d29m50.14s,47.4972606,191.904,0.821,-0.814,13.071,0.069,-0.069,10.594,0.011,-0.011,12.8567,0.000259,-0.000259,2014-05-14,2014-02,2014-05-14
Kepler-95 b,Kepler-95,0,1,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,11.52306995,,,0.0,0.1022793919,,,0.0,3.115,0.086,-0.086,0.0,0.27790216,0.00767242,-0.00767242,0.0,10.22179722,3.42532286,-3.42532286,0.0,0.03216113,0.01077727,-0.01077727,0.0,Msini,0.0,,,0.0,,,,,,,,,0.0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,1.075,0.0365,-0.0365,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m55.78s,284.4824281,+44d23m52.41s,44.397891,445.656,5.783,-5.64,12.382,0.046,-0.046,10.801,0.017,-0.017,12.3044,0.000179,-0.000179,2024-02-21,2024-01,2024-02-21
Kepler-96 b,Kepler-96,1,1,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,16.2385,,,0.0,,,,,2.67,0.22,-0.22,0.0,0.238,0.02,-0.02,0.0,8.46,3.4,-3.4,0.0,0.027,0.011,-0.011,0.0,Mass,,,,,,,,,,,,,0.0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5690.0,73.0,-73.0,0.0,1.02,0.09,-0.09,0.0,1.0,0.06,-0.06,0.0,0.04,0.07,-0.07,0.0,[Fe/H],4.421,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m16.76s,297.0698263,+40d31m30.73s,40.5252039,122.881,0.404,-0.401,10.568,0.006,-0.006,8.868,0.02,-0.02,10.2971,0.00039,-0.00039,2014-05-14,2014-02,2014-05-14
Kepler-97 b,Kepler-97,0,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,2.586638081,,,0.0,0.0356181937,,,0.0,1.623,0.087,-0.087,0.0,0.14479461,0.00776163,-0.00776163,0.0,3.40678037,2.52540153,-2.52540153,0.0,0.01066696,0.0079458,-0.0079458,0.0,Msini,0.0,,,0.0,,,,,,,,,0.0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,0.901,0.025,-0.025,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m18.37s,287.3265292,+48d40m24.04s,48.6733443,400.907,3.552,-3.491,12.994,0.092,-0.092,11.345,0.026,-0.026,12.813,0.000219,-0.000219,2024-02-21,2024-01,2024-02-21
Kepler-98 b,Kepler-98,0,1,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,1.541676628,,,0.0,0.0261264299,,,0.0,1.87,0.127,-0.127,0.0,0.16683051,0.0113302,-0.0113302,0.0,2.07243356,2.08014029,-2.08014029,0.0,0.0064503,0.00654485,-0.00654485,0.0,Msini,0.0,,,0.0,,,,,,,,,0.0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,1.001,0.022,-0.022,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m38.81s,285.6616933,+37d57m52.44s,37.9645672,350.315,2.978,-2.929,12.996,0.08,-0.08,11.253,0.017,-0.017,12.8694,0.000255,-0.000255,2024-02-21,2024-01,2024-02-21
Kepler-99 b,Kepler-99,0,2,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,4.603578042,,,0.0,0.0506922391,,,0.0,1.812,0.135,-0.135,0.0,0.16165609,0.01204391,-0.01204391,0.0,3.81256654,2.05725824,-2.05725824,0.0,0.0119738,0.00647286,-0.00647286,0.0,Msini,0.0,,,0.0,,,,,,,,,0.0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,0.82,0.0195,-0.0195,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m24.96s,297.3539994,+41d18m00.16s,41.3000452,208.369,1.042,-1.031,13.206,0.092,-0.092,10.757,0.018,-0.018,12.9618,0.000373,-0.000373,2024-02-21,2024-01,2024-02-21
L 168-9 b,L 168-9,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,1.40152604,7.4e-07,-8.2e-07,0.0,0.0208,0.0006,-0.0006,0.0,1.63,0.14,-0.14,0.0,0.14541911,0.01248998,-0.01248998,0.0,4.07,0.45,-0.45,0.0,0.01280565,0.00141586,-0.00141586,0.0,Mass,0.0,,,0.0,,,,,998.0,39.0,-39.0,0.0,0.0,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,M0.5 V,3842.0,32.0,-32.0,0.0,0.604,0.037,-0.037,0.0,0.614,0.055,-0.055,0.0,-0.03,0.03,-0.03,0.0,[Fe/H],4.84,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h20m06.86s,350.0285917,-60d03m56.63s,-60.0657292,25.1496,0.0239,-0.0239,11.005,0.018,-0.018,7.082,0.031,-0.031,10.2316,0.000839,-0.000839,2024-08-30,2024-06,2024-08-30
L 98-59 b,L 98-59,0,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,2.2531136,1.2e-06,-1.5e-06,0.0,0.02191,0.0008,-0.00084,0.0,0.85,0.061,-0.047,0.0,0.07583205,0.00544206,-0.00419307,0.0,0.4,0.16,-0.15,0.0,0.00125854,0.00050342,-0.00047195,0.0,Mass,0.103,0.117,-0.045,0.0,24.7,5.0,-4.1,0.0,627.0,33.0,-36.0,0.0,0.0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,M3 V,3415.0,135.0,-135.0,0.0,0.303,0.026,-0.023,0.0,0.273,0.03,-0.03,0.0,-0.46,0.26,-0.26,0.0,[Fe/H],4.86,0.13,-0.13,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765,2021-08-23,2021-09,2021-08-23
L 98-59 c,L 98-59,0,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,3.6906745,2.5e-06,-2.5e-06,0.0,,,,,1.34,0.07,-0.07,0.0,0.119547,0.00624499,-0.00624499,0.0,2.42,0.35,-0.34,0.0,0.00761417,0.00110122,-0.00106976,0.0,Mass,0.0,,,0.0,,,,,,,,,1.0,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>,M3 V,3412.0,49.0,-49.0,0.0,0.314,0.014,-0.014,0.0,0.312,0.031,-0.031,0.0,-0.5,0.5,-0.5,0.0,[Fe/H],4.94,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765,2023-07-10,2022-09,2023-07-10
L 98-59 d,L 98-59,0,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>,7.4512,0.0007,-0.0007,0.0,0.0506,0.0002,-0.0002,0.0,1.57,0.14,-0.14,0.0,0.14006602,0.01248996,-0.01248996,0.0,2.31,0.46,-0.45,0.0,0.00726804,0.00144731,-0.00141585,0.0,Mass,0.09,,,1.0,,,,,409.0,8.0,-8.0,0.0,1.0,<a refstr=CLOUTIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...629A.111C/abstract target=ref>Cloutier et al. 2019</a>,M3 V,3412.0,49.0,-49.0,0.0,0.314,0.014,-0.014,0.0,0.312,0.031,-0.031,0.0,-0.5,0.5,-0.5,0.0,[Fe/H],4.94,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,0.0032,-0.0032,11.685,0.017,-0.017,7.101,0.018,-0.018,10.5976,0.000765,-0.000765,2020-04-10,2019-09,2020-04-16
