pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 45184 c,HD 45184,1,1,2,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,13.1354,0.0026,-0.0025,0.0,0.11,0.0034,-0.0036,0.0,,,,,,,,,8.81,1.09,-1.02,0.0,0.0277,0.0034,-0.0032,0.0,Msini,0.07,0.07,-0.05,0.0,,,,,,,,,0.0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,G1.5 V,5869.0,14.0,-14.0,0.0,,,,,1.03,,,0.0,0.04,0.01,-0.01,0.0,[Fe/H],4.47,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h24m43.68s,96.1820205,-28d46m50.30s,-28.7806402,21.9532,0.0156,-0.0155,6.383,0.005,-0.005,4.871,0.02,-0.02,6.21037,0.0005004,-0.0005004,2019-02-05,2019-02,2019-02-07
HD 45350 b,HD 45350,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ENDL_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006AJ....131.3131E/abstract target=ref> Endl et al. 2006 </a>,962.1,4.4,-4.4,0.0,1.92,0.069,-0.069,0.0,,,,,,,,,578.43,44.49,-44.49,0.0,1.82,0.14,-0.14,0.0,Msini,0.764,0.011,-0.011,0.0,,,,,,,,,0.0,<a refstr=ENDL_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006AJ....131.3131E/abstract target=ref> Endl et al. 2006 </a>,,,,,,,,,,1.02,0.1,-0.1,0.0,0.19,,,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m45.65s,97.1902262,+38d57m45.83s,38.9627315,46.8733,0.168,-0.1668,7.89,0.03,-0.03,6.224,0.017,-0.017,7.7,0.00032,-0.00032,2015-01-22,2006-06,2015-01-22
HD 45364 b,HD 45364,1,1,2,Radial Velocity,2008,La Silla Observatory,Published Confirmed,0,<a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>,225.79,0.81,-0.76,0.0,0.6793,0.0016,-0.0015,0.0,,,,,,,,,60.16491745,1.97053612,-2.00231896,0.0,0.1893,0.0062,-0.0063,0.0,Msini,0.067,0.016,-0.016,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>,K0 V,5466.0,59.0,-32.0,0.0,0.89,0.01,-0.02,0.0,0.82,0.05,-0.05,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h25m38.54s,96.4105736,-31d28m51.61s,-31.4810037,34.354,0.0376,-0.0375,8.08,0.03,-0.03,6.316,0.018,-0.018,7.88016,0.00029,-0.00029,2022-12-05,2022-10,2022-12-05
HD 45364 c,HD 45364,1,1,2,Radial Velocity,2008,La Silla Observatory,Published Confirmed,0,<a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>,345.43,0.54,-0.57,0.0,0.902,0.001,-0.001,0.0,,,,,,,,,174.48779544,2.38371305,-2.35193021,0.0,0.549,0.0075,-0.0074,0.0,Msini,0.019,0.011,-0.01,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>,K0 V,5466.0,59.0,-32.0,0.0,0.89,0.01,-0.02,0.0,0.82,0.05,-0.05,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h25m38.54s,96.4105736,-31d28m51.61s,-31.4810037,34.354,0.0376,-0.0375,8.08,0.03,-0.03,6.316,0.018,-0.018,7.88016,0.00029,-0.00029,2022-12-05,2022-10,2022-12-05
HD 45652 b,HD 45652,0,1,1,Radial Velocity,2008,Haute-Provence Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,43.6,0.2,-0.2,0.0,0.23,0.0,0.0,0.0,,,,,,,,,111.2405,15.8915,-15.8915,0.0,0.35,0.05,-0.05,0.0,Msini,0.38,0.06,-0.06,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5232.0,48.0,-48.0,0.0,0.96,0.02,-0.02,0.0,0.54,0.09,-0.09,0.0,0.29,,,0.0,[Fe/H],4.2,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h29m13.41s,97.3058709,+10d56m01.04s,10.9336212,34.8541,0.0676,-0.0673,8.1,0.03,-0.03,6.263,0.023,-0.023,7.9118,0.000364,-0.000364,2018-09-25,2017-03,2018-09-06
HD 457 b,HD 457,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,20324.58153,11483.95545,-7039.20037,0.0,15.369,5.561,-3.797,0.0,,,,,,,,,8445.3364308,5952.2904063,-3798.68512046,0.0,26.572,18.728,-11.952,0.0,Mass,0.565,0.195,-0.245,0.0,,,,,,,,,0.0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,,,,,,,1.15,0.152,-0.152,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h08m59.83s,2.2492922,-39d44m14.06s,-39.7372401,55.0375,0.1324,-0.1317,7.72,0.03,-0.03,6.338,0.021,-0.021,7.57794,0.000344,-0.000344,2023-06-12,2022-09,2023-06-12
HD 46375 b,HD 46375,0,2,1,Radial Velocity,2000,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,3.023495,1.3e-05,-1.3e-05,0.0,0.03998,0.00059,-0.0006,0.0,,,,,,,,,72.01991703,2.82867282,-2.7333243,0.0,0.2266,0.0089,-0.0086,0.0,Msini,0.063,0.024,-0.024,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5264.38,74.1,-74.1,0.0,0.914196,0.019199,-0.019199,0.0,0.932831,0.041749,-0.041749,0.0,0.2714,0.0601,-0.0601,0.0,[Fe/H],4.485321,0.031053,-0.031053,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h33m12.74s,98.3030763,+05d27m45.03s,5.4625071,29.5529,0.0383,-0.0383,7.91,0.03,-0.03,6.0,0.023,-0.023,7.69533,0.000284,-0.000284,2022-05-09,2021-07,2022-05-09
HD 47186 b,HD 47186,0,1,2,Radial Velocity,2008,La Silla Observatory,Published Confirmed,0,<a refstr=BOUCHY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..527B/abstract target=ref> Bouchy et al. 2009 </a>,4.0845,0.0002,-0.0002,0.0,0.05,,,0.0,,,,,,,,,22.78,,,0.0,0.07167,,,0.0,Msini,0.038,0.02,-0.02,0.0,,,,,,,,,0.0,<a refstr=BOUCHY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..527B/abstract target=ref> Bouchy et al. 2009 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m08.81s,99.0367212,-27d37m24.34s,-27.6234285,37.4574,0.0463,-0.0461,7.63,0.03,-0.03,6.005,0.027,-0.027,7.44897,0.000192,-0.000192,2018-04-25,2009-03,2015-03-26
HD 47186 c,HD 47186,1,1,2,Radial Velocity,2008,La Silla Observatory,Published Confirmed,0,<a refstr=BOUCHY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..527B/abstract target=ref> Bouchy et al. 2009 </a>,1353.6,57.1,-57.1,0.0,2.395,,,0.0,,,,,,,,,111.42,,,0.0,0.35061,,,0.0,Msini,0.249,0.073,-0.073,0.0,,,,,,,,,0.0,<a refstr=BOUCHY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..527B/abstract target=ref> Bouchy et al. 2009 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m08.81s,99.0367212,-27d37m24.34s,-27.6234285,37.4574,0.0463,-0.0461,7.63,0.03,-0.03,6.005,0.027,-0.027,7.44897,0.000192,-0.000192,2015-03-26,2009-03,2015-03-26
HD 4732 b,HD 4732,0,2,2,Radial Velocity,2012,Multiple Observatories,Published Confirmed,0,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...762....9S/abstract target=ref> Sato et al. 2013 </a>,360.2,1.4,-1.4,0.0,1.19,0.05,-0.05,0.0,,,,,,,,,753.23,108.06,-108.06,0.0,2.37,0.34,-0.34,0.0,Msini,0.13,0.06,-0.06,0.0,,,,,,,,,0.0,<a refstr=SATO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...762....9S/abstract target=ref> Sato et al. 2013 </a>,K0 IV,4959.0,25.0,-25.0,0.0,5.4,0.4,-0.4,0.0,1.74,0.2,-0.14,0.0,0.01,0.04,-0.04,0.0,[Fe/H],3.16,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079,54.7841,0.1708,-0.1708,5.9,0.03,-0.03,3.691,0.036,-0.036,5.6509,0.0010995,-0.0010995,2014-05-14,2013-01,2014-05-14
